Distance (63 steps),Distance (126 steps),Distance (189 steps)
31.522957612123644,63.06215371694709,94.61757306432953
31.523287218616378,63.06295392627859,94.61898466725698
31.523619063848574,63.063758608336265,94.62040297089328
31.52395314774955,63.064567762948926,94.62182797493723
31.52428947024813,63.065381389944406,94.62325967908605
31.524628031272655,63.0661994891496,94.62469808303563
31.524968830751007,63.06702206039049,94.62614318648043
31.525311868610604,63.06784910349207,94.62759498911356
31.52565714477837,63.06868061827845,94.62905349062662
31.52600465918075,63.06951660457273,94.63051869070986
31.526354411743736,63.07035706219713,94.63199058905222
31.52670640239284,63.07120199097288,94.63346918534108
31.527060631053104,63.072051390720304,94.63495447926252
31.527417097649092,63.07290526125876,94.63644647050118
31.527775802104877,63.073763602406686,94.63794515874032
31.528136744344092,63.074626413981555,94.63945054366174
31.5284999242899,63.075493695799935,94.64096262494594
31.528865341864925,63.07636544767742,94.64248140227193
31.529232996991418,63.07724166942867,94.64400687531736
31.529602889591057,63.078122360867425,94.64553904375845
31.529975019585134,63.079007521806474,94.64707790727005
31.530349386894418,63.07989715205764,94.6486234655256
31.530725991439187,63.080791251431826,94.65017571819716
31.531104833139334,63.08168981973906,94.65173466495538
31.5314859119142,63.08259285678832,94.65330030546946
31.531869227682638,63.0835003623877,94.65487263940726
31.532254780363115,63.084412336344364,94.65645166643525
31.532642569873556,63.0853287784645,94.65803738621844
31.53303259613145,63.08624968855343,94.65962979842051
31.533424859053795,63.08717506641548,94.66122890270375
31.533819358557103,63.088104911854,94.66283469872893
31.534216094557458,63.0890392246715,94.66444718615563
31.534615066970442,63.0899780046695,94.66606636464181
31.535016275711172,63.09092125164856,94.66769223384419
31.5354197206943,63.09186896540838,94.66932479341807
31.535825401833975,63.09282114574764,94.67096404301726
31.536233319043923,63.093777792464095,94.67260998229432
31.536643472237373,63.09473890535465,94.67426261090034
31.537055861327065,63.095704484215176,94.67592192848495
31.537470486225313,63.09667452884064,94.67758793469655
31.537887346843945,63.09764903902505,94.67926062918201
31.53830644309425,63.09862801456154,94.68094001158681
31.538727774887164,63.09961145524229,94.68262608155514
31.53915134213307,63.100599360858496,94.68431883872977
31.539577144741905,63.101591731200436,94.68601828275192
31.540005182623137,63.102588566057506,94.68772441326166
31.54043545568576,63.10358986521813,94.68943722989751
31.540867963838313,63.104595628469795,94.69115673229668
31.54130270698882,63.10560585559905,94.69288292009487
31.541739685044874,63.106620546391504,94.69461579292658
31.542178897913594,63.107639700631836,94.69635535042475
31.542620345501636,63.108663318103844,94.698101592221
31.543064027715168,63.109691398590364,94.6998545179456
31.54350994445989,63.11072394187321,94.70161412722737
31.543958095641038,63.11176094773342,94.70338041969376
31.54440848116338,63.112802415950995,94.70515339497088
31.5448611009312,63.11384834630501,94.7069330526833
31.545315954848363,63.11489873857364,94.70871939245441
31.545773042818173,63.11595359253411,94.71051241390609
31.546232364743574,63.11701290796272,94.71231211665886
31.546693920526945,63.11807668463486,94.71411850033188
31.54715771007025,63.11914492232494,94.71593156454286
31.547623733274975,63.12021762080648,94.71775130890818
31.548091990042142,63.12129477985205,94.71957773304288
31.548562480272285,63.122376399233325,94.7214108365605
31.54903520386549,63.123462478720974,94.72325061907326
31.549510160721354,63.124553018084825,94.72509708019204
31.54998735073903,63.12564801709371,94.72695021952623
31.550466773817185,63.12674747551556,94.72881003668395
31.550948429854035,63.12785139311741,94.7306765312719
31.551432318747285,63.1289597696653,94.73254970289531
31.551918440394235,63.13007260492436,94.73442955115819
31.55240679469168,63.13118989865881,94.73631607566305
31.552897381535956,63.132311650631976,94.73820927601109
31.553390200822918,63.13343786060617,94.74010915180205
31.553885252447973,63.13456852834283,94.74201570263438
31.554382536306033,63.13570365360248,94.74392892810503
31.554882052291592,63.136843236144706,94.74584882780977
31.555383800298635,63.1379872757281,94.74777540134282
31.555887780220683,63.13913577211046,94.74970864829707
31.556393991950827,63.140288725048535,94.75164856826402
31.556902435381623,63.14144613429822,94.75359516083385
31.557413110405243,63.142607999614455,94.75554842559535
31.55792601691333,63.14377432075124,94.75750836213584
31.558441154797073,63.1449450974617,94.75947497004141
31.558958523947215,63.14612032949802,94.76144824889664
31.559478124254035,63.14730001661139,94.76342819828483
31.559999955607307,63.14848415855215,94.7654148177879
31.560524017896395,63.14967275506976,94.76740810698634
31.561050311010135,63.15086580591262,94.76940806545929
31.561578834836936,63.15206331082829,94.77141469278453
31.562109589264747,63.15326526956343,94.77342798853846
31.56264257418105,63.15447168186374,94.77544795229616
31.563177789472814,63.155682547473944,94.77747458363126
31.563715235026617,63.15689786613802,94.77950788211601
31.5642549107285,63.15811763759877,94.78154784732136
31.564796816464085,63.159341861598286,94.78359447881688
31.565340952118547,63.16057053787766,94.78564777617073
31.565887317576546,63.161803666177015,94.78770773894973
31.56643591272227,63.16304124623564,94.78977436671927
31.566986737439525,63.16428327779189,94.79184765904353
31.567539791611587,63.165529760583105,94.79392761548513
31.568095075121253,63.16678069434584,94.79601423560544
31.568652587850856,63.16803607881562,94.79810751896443
31.569212329682383,63.16929591372711,94.80020746512072
31.569774300497205,63.17056019881402,94.80231407363152
31.570338500176295,63.17182893380924,94.80442734405275
31.570904928600154,63.17310211844453,94.80654727593888
31.571473585648835,63.174379752450974,94.80867386884309
31.572044471201927,63.17566183555856,94.81080712231713
31.572617585138516,63.176948367496465,94.81294703591142
31.57319292733729,63.17823934799286,94.81509360917507
31.573770497676406,63.17953477677511,94.81724684165573
31.574350296033586,63.180834653569555,94.81940673289972
